TeamID,name,score,index
100205573495116443,Gen.G,427.7012222280409,0
99566404852189289,Beijing JDG Intel Esports Club,407.32488235953855,1
99566404579461230,kt Rolster,347.37318584618737,2
99566404853854212,Bilibili Gaming Pingan Bank,310.49926215558366,3
104367068120825486,PSG Talon,272.386034148012,4
98767991926151025,G2 Esports,264.9146943323403,5
102235771678061291,DenizBank Ä°stanbul Wildcats,264.6177148409643,6
105536918475957734,Macko Esports,263.19159118383,7
99566404850008779,Suzhou LNG Esports,231.5417877770508,8
98767991853197861,T1,217.04551308170076,9
98767991877340524,Cloud9,212.70381430827345,10
100285330168091787,DetonatioN FocusMe,212.45398234390544,11
105504044166670507,Unicorns of Love Sexy Edition,209.62119047709913,12
103935468920814040,Team GO,205.56079713712137,13
105593951536470384,GTZ Esports,187.85200949664906,14
105397404796640412,LOUD,183.45763117169076,15
105559480124455983,SK Gaming Prime,171.6742615248127,16
99566408217955692,paiN Gaming,169.53504149854223,17
107575082591536093,Entropiq,160.69539237863182,18
100205573496804586,Hanwha Life Esports,159.88693583086737,19
98767991954244555,GAM Esports,158.52453485978893,20
105550026570060790,DK Challengers,158.29609371795416,21
99566405124618295,Team Liquid Honda Challengers,150.60237921451616,22
98767991935149427,Movistar R7,150.07997426449663,23
99566405130451785,Cloud9 Challengers,145.91123193842313,24
101428372605353526,Sengoku Gaming,136.9913683393227,25
102787200149928963,WLGaming Esports,135.8860477781464,26
110428362822825796,Disguised,131.8730797761739,27
105553606349477427,Zero Tenacity,131.51897586018882,28
106827832203113865,SHG Academy,131.49381746961683,29
103461966981927044,Dignitas Challengers,131.047809817636,30
99566404853058754,WeiboGaming FAW AUDI,130.68077314788513,31
108404211655217274,Partizan Esports,128.73783944601666,32
109674814051390025,Primate,127.78883871184007,33
100725845018863243,Dplus Kia,127.59692240076723,34
99566405126602853,FlyQuest Challengers,126.24943100973378,35
99566404854685458,TOP ESPORTS,122.74999030666093,36
105521706535388095,Anorthosis Famagusta Esports,120.9494585563065,37
106269804045322803,Beyond Gaming,120.16331527073014,38
103877625775457850,Movistar Riders,119.87177924615168,39
103535282119620510,Fukuoka SoftBank HAWKS gaming,118.3700281295449,40
109696126554266494,Geekay Esports,116.84875752561071,41
107467803833323099,Los Heretics,116.69895538869436,42
105515219038427019,Karmine Corp,114.97764368427158,43
